mapa,semente,n_pivos,tempo_precomp_ms,n_pivos_gerados,pivos_fora_maior_comp,primeiro_pivo_fora,frac_consultas_h_zero,h_medio
den011d,123,50,21.356355,50,0,0,0.000000,168.278667
den011d,123,100,43.334150,100,0,0,0.000000,168.540000
den011d,456,10,4.500341,10,0,0,0.000000,165.988000
den011d,456,20,8.438701,20,0,0,0.000000,167.433333
den011d,456,50,21.584089,50,0,0,0.000000,168.062667
den011d,456,100,43.172508,100,0,0,0.000000,168.412000
den011d,789,10,4.490713,10,0,0,0.000000,166.673333
den011d,789,20,8.457206,20,0,0,0.000000,166.942667
den011d,789,50,21.565816,50,0,0,0.000000,168.241333
den011d,789,100,43.215979,100,0,0,0.000000,168.537333
den011d,1011,10,4.452691,10,0,0,0.000000,166.028000
den011d,1011,20,9.695069,20,0,0,0.000000,167.321333
den011d,1011,50,21.617723,50,0,0,0.000000,168.132000
den011d,1011,100,43.390255,100,0,0,0.000000,168.444000
den012d,42,10,8.659835,10,0,0,0.000000,258.950847
den012d,42,20,13.877647,20,0,0,0.000000,260.196610
den012d,42,50,36.427852,50,0,0,0.000000,261.311864
den012d,42,100,94.427411,100,0,0,0.000000,261.530508
den012d,123,10,10.900372,10,0,0,0.000847,258.166102
den012d,123,20,13.750659,20,0,0,0.000000,260.203390
den012d,123,50,36.436057,50,0,0,0.000000,261.328814
den012d,123,100,94.578684,100,0,0,0.000000,261.586441
den012d,456,10,10.852753,10,0,0,0.000000,258.074576
den012d,456,20,13.681540,20,0,0,0.000000,259.859322
den012d,456,50,36.491331,50,0,0,0.000000,261.101695
den012d,456,100,94.499886,100,0,0,0.000000,261.659322
den012d,789,10,10.936299,10,0,0,0.000000,258.377966
den012d,789,20,13.708791,20,0,0,0.000000,260.216949
den012d,789,50,36.387988,50,0,0,0.000000,261.354237
den012d,789,100,95.020800,100,0,0,0.000000,261.652542
den012d,1011,10,11.011490,10,0,0,0.000000,258.415254
den012d,1011,20,13.822113,20,0,0,0.000000,259.806780
den012d,1011,50,36.711733,50,0,0,0.000000,261.371186
den012d,1011,100,94.500577,100,0,0,0.000000,261.650847
den500d,42,10,11.451463,10,0,0,0.001875,337.361250
den500d,42,20,18.311293,20,0,0,0.001250,341.438750
den500d,42,50,46.391093,50,0,0,0.000625,343.092500
den500d,42,100,95.200015,100,0,0,0.000625,343.501250
den500d,123,10,11.777211,10,0,0,0.001875,339.055000
den500d,123,20,18.277830,20,0,0,0.001250,341.388750
den500d,123,50,46.405760,50,0,0,0.001250,342.982500
den500d,123,100,94.597800,100,0,0,0.000625,343.480000
den500d,456,10,11.789925,10,0,0,0.001875,339.283750
den500d,456,20,18.237866,20,0,0,0.001250,341.081250
den500d,456,50,46.274735,50,0,0,0.001250,342.972500
den500d,456,100,95.061045,100,0,0,0.000625,343.372500
den500d,789,10,11.767773,10,0,0,0.001875,336.936250
den500d,789,20,18.265116,20,0,0,0.001250,341.582500
den500d,789,50,46.442459,50,0,0,0.001875,342.935000
den500d,789,100,94.593381,100,0,0,0.000625,343.466250
den500d,1011,10,11.748127,10,0,0,0.001875,337.567500
den500d,1011,20,18.278171,20,0,0,0.001250,341.346250
den500d,1011,50,46.330390,50,0,0,0.001250,343.061250
den500d,1011,100,94.967971,100,0,0,0.000625,343.481250
den501d,42,10,10.791970,10,0,0,0.002564,254.588889
den501d,42,20,16.647964,20,0,0,0.000855,256.455556
den501d,42,50,41.918554,50,0,0,0.000000,257.686325
den501d,42,100,84.320201,100,0,0,0.000000,258.144444
den501d,123,10,10.294239,10,0,0,0.002564,254.976923
den501d,123,20,16.520576,20,0,0,0.000855,257.000855
den501d,123,50,42.231599,50,0,0,0.000000,257.898291
den501d,123,100,84.280056,100,0,0,0.000000,258.161538
den501d,456,10,10.318405,10,0,0,0.002564,254.652137
den501d,456,20,16.499547,20,0,0,0.000855,256.026496
den501d,456,50,42.045210,50,0,0,0.000000,257.917094
den501d,456,100,84.445435,100,0,0,0.000000,258.137607
den501d,789,10,10.310419,10,0,0,0.002564,254.734188
den501d,789,20,16.466325,20,0,0,0.000855,256.588889
den501d,789,50,42.016437,50,0,0,0.000000,257.768376
den501d,789,100,84.992277,100,0,0,0.000000,258.147863
den501d,1011,10,10.324486,10,0,0,0.002564,254.641880
den501d,1011,20,16.597029,20,0,0,0.000855,256.645299
den501d,1011,50,41.997030,50,0,0,0.000000,257.929060
den501d,1011,100,84.558517,100,0,0,0.000000,258.060684
den602d,42,10,18.187572,10,0,0,0.000000,578.428947
den602d,42,20,26.356950,20,0,0,0.000000,580.771053
den602d,42,50,71.090315,50,0,0,0.000000,581.594361
den602d,42,100,207.704381,100,0,0,0.000000,582.026692
den602d,123,10,24.013179,10,0,0,0.000000,579.003383
den602d,123,20,26.387767,20,0,0,0.000000,580.909398
den602d,123,50,70.883047,50,0,0,0.000000,581.693609
den602d,123,100,206.628480,100,0,0,0.000000,582.062782
den602d,456,10,23.947577,10,0,0,0.000000,578.919173
den602d,456,20,26.342222,20,0,0,0.000000,581.035714
den602d,456,50,70.534737,50,0,0,0.000000,581.704887
den602d,456,100,206.398440,100,0,0,0.000000,581.977068
den602d,789,10,23.921028,10,0,0,0.000000,577.906391
den602d,789,20,26.595225,20,0,0,0.000000,580.864286
den602d,789,50,70.427877,50,0,0,0.000000,581.651504
den602d,789,100,206.484020,100,0,0,0.000000,581.968045
den602d,1011,10,24.002540,10,0,0,0.000000,578.775564
den602d,1011,20,26.388519,20,0,0,0.000000,580.773308
den602d,1011,50,70.606831,50,0,0,0.000000,581.662030
den602d,1011,100,205.793810,100,0,0,0.000000,581.968797
hrt201n,42,10,13.327649,10,0,0,0.000847,254.691525
hrt201n,42,20,15.419118,20,0,0,0.000000,259.430508
hrt201n,42,50,39.503701,50,0,0,0.000000,261.584746
hrt201n,42,100,78.692914,100,0,0,0.000000,262.149153
hrt201n,123,10,8.137699,10,0,0,0.000000,256.415254
hrt201n,123,20,15.490661,20,0,0,0.000000,260.010169
hrt201n,123,50,39.154328,50,0,0,0.000000,261.584746
hrt201n,123,100,78.563141,100,0,0,0.000000,262.030508
hrt201n,456,10,8.099628,10,0,0,0.000847,256.496610
hrt201n,456,20,15.442140,20,0,0,0.000000,258.771186
hrt201n,456,50,39.162733,50,0,0,0.000000,261.600000
hrt201n,456,100,78.690148,100,0,0,0.000000,262.145763
hrt201n,789,10,8.146375,10,0,0,0.000000,256.281356
hrt201n,789,20,15.450927,20,0,0,0.000000,260.030508
hrt201n,789,50,39.530071,50,0,0,0.000000,261.547458
hrt201n,789,100,78.649913,100,0,0,0.000000,262.118644
hrt201n,1011,10,8.180509,10,0,0,0.000000,254.442373
hrt201n,1011,20,15.634289,20,0,0,0.000000,259.584746
hrt201n,1011,50,39.237513,50,0,0,0.000000,261.627119
hrt201n,1011,100,79.295791,100,0,0,0.000000,262.183051
lak506d,42,10,4.963427,10,0,0,0.000000,271.953153
lak506d,42,20,8.782985,20,0,0,0.000000,273.702703
lak506d,42,50,23.815731,50,0,0,0.000000,274.423423
lak506d,42,100,44.527601,100,0,0,0.000000,274.616216
lak506d,123,10,4.607301,10,0,0,0.000000,272.425225
lak506d,123,20,8.663181,20,0,0,0.000000,273.551351
lak506d,123,50,22.067202,50,0,0,0.000000,274.389189
lak506d,123,100,44.189488,100,0,0,0.000000,274.634234
lak506d,456,10,4.635564,10,0,0,0.000000,271.980180
lak506d,456,20,8.703126,20,0,0,0.000000,273.681081
lak506d,456,50,21.752344,50,0,0,0.000000,274.400000
lak506d,456,100,45.005143,100,0,0,0.000000,274.581982
lak506d,789,10,4.674436,10,0,0,0.000000,272.086486
lak506d,789,20,8.684300,20,0,0,0.000901,273.682883
lak506d,789,50,21.964090,50,0,0,0.000000,274.436036
lak506d,789,100,43.957955,100,0,0,0.000000,274.643243
lak506d,1011,10,4.643218,10,0,0,0.000000,272.336937
lak506d,1011,20,8.727371,20,0,0,0.000000,273.524324
lak506d,1011,50,21.855117,50,0,0,0.000000,274.315315
lak506d,1011,100,44.152539,100,0,0,0.000000,274.612613
