mapa,semente,padrao,nivel,n_pivos,pivos_iguais,celulas_comparadas,celulas_diferentes,frac_diferentes,viraram_inalcancaveis,dist_max_aumento
brc000d,42,Linear,0.1,10,1,273860,268682,0.981093,264623,88
brc000d,42,Linear,0.1,20,1,547720,535036,0.976842,524239,98
brc000d,42,Linear,0.1,50,1,1369300,1335705,0.975466,1312124,94
brc000d,42,Linear,0.1,100,1,2738600,2666542,0.973688,2621820,92
brc000d,42,Linear,0.2,10,1,273860,271915,0.992898,271612,26
brc000d,42,Linear,0.2,20,1,547720,544251,0.993666,543111,38
brc000d,42,Linear,0.2,50,1,1369300,1359702,0.992991,1358403,48
brc000d,42,Linear,0.2,100,1,2738600,2720677,0.993455,2717457,48
brc000d,42,Linear,0.3,10,1,273860,273254,0.997787,273026,4
brc000d,42,Linear,0.3,20,1,547720,546700,0.998138,546694,6
brc000d,42,Linear,0.3,50,1,1369300,1366220,0.997751,1365975,18
brc000d,42,Linear,0.3,100,1,2738600,2732150,0.997645,2731640,10
brc000d,42,Sparse,0.1,10,1,273860,222288,0.811685,217836,58
brc000d,42,Sparse,0.1,20,1,547720,406906,0.742909,386244,68
brc000d,42,Sparse,0.1,50,1,1369300,976232,0.712942,919636,124
brc000d,42,Sparse,0.1,100,1,2738600,1855518,0.677543,1710581,114
brc000d,42,Sparse,0.2,10,1,273860,255714,0.93374,252611,52
brc000d,42,Sparse,0.2,20,1,547720,494929,0.903617,478160,110
brc000d,42,Sparse,0.2,50,1,1369300,1267445,0.925615,1223858,124
brc000d,42,Sparse,0.2,100,1,2738600,2509834,0.916466,2411216,124
brc000d,42,Sparse,0.3,10,1,273860,260155,0.949956,258265,24
brc000d,42,Sparse,0.3,20,1,547720,514448,0.939254,508124,30
brc000d,42,Sparse,0.3,50,1,1369300,1301242,0.950297,1282720,72
brc000d,42,Sparse,0.3,100,1,2738600,2595318,0.947681,2545281,64
brc000d,42,Organic,0.1,10,1,273860,189408,0.691623,57157,162
brc000d,42,Organic,0.1,20,1,547720,379375,0.692644,114131,180
brc000d,42,Organic,0.1,50,1,1369300,959293,0.700572,261678,168
